session,accept,bold,bullets,numbered,list,no_shown_work,no_gold_answer,style_clean,turns,first_reply_chars,accept_cum,accept_rate_10,bold_rate_10,list_rate_10,style_clean_rate_10
0,0,1,1,0,1,0,0,0,4,669,0,0.0,1.0,1.0,0.0
1,0,1,1,0,1,0,0,0,4,900,0,0.0,1.0,1.0,0.0
2,0,1,1,1,1,0,0,0,3,693,0,0.0,1.0,1.0,0.0
3,0,1,0,0,0,0,0,0,3,504,0,0.0,1.0,0.75,0.0
4,0,0,0,0,0,0,0,1,0,0,0,0.0,0.8,0.6,0.2
5,0,1,1,1,1,1,0,0,3,514,0,0.0,0.8333333333333334,0.6666666666666666,0.16666666666666666
6,0,1,0,1,1,0,0,0,3,491,0,0.0,0.8571428571428571,0.7142857142857143,0.14285714285714285
7,0,1,1,0,1,0,0,0,2,2520,0,0.0,0.875,0.75,0.125
8,0,1,1,0,1,0,0,0,3,1002,0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111
9,0,1,0,1,1,0,1,0,4,1208,0,0.0,0.9,0.8,0.1
10,0,1,0,1,1,0,0,0,4,1851,0,0.0,0.9,0.8,0.1
11,0,1,0,1,1,0,0,0,2,1604,0,0.0,0.9,0.8,0.1
12,0,1,1,1,1,0,0,0,8,531,0,0.0,0.9,0.8,0.1
13,0,1,1,0,1,0,0,0,3,674,0,0.0,0.9,0.9,0.1
14,0,1,1,0,1,0,0,0,5,1793,0,0.0,1.0,1.0,0.0
15,0,1,0,1,1,0,0,0,2,1027,0,0.0,1.0,1.0,0.0
16,0,1,1,1,1,0,0,0,3,956,0,0.0,1.0,1.0,0.0
17,0,0,1,1,1,0,0,0,3,704,0,0.0,0.9,1.0,0.0
18,0,1,1,1,1,0,0,0,3,1092,0,0.0,0.9,1.0,0.0
19,0,0,1,0,1,0,0,0,3,593,0,0.0,0.8,1.0,0.0
20,0,1,1,1,1,0,0,0,3,486,0,0.0,0.8,1.0,0.0
21,0,1,1,0,1,0,0,0,4,930,0,0.0,0.8,1.0,0.0
22,0,1,1,0,1,0,0,0,3,1028,0,0.0,0.8,1.0,0.0
23,0,0,1,1,1,0,0,0,4,804,0,0.0,0.7,1.0,0.0
24,0,1,1,0,1,0,0,0,3,603,0,0.0,0.7,1.0,0.0
25,0,1,1,0,1,0,0,0,4,770,0,0.0,0.7,1.0,0.0
26,0,1,1,1,1,0,0,0,7,1923,0,0.0,0.7,1.0,0.0
27,0,1,1,0,1,0,0,0,3,1323,0,0.0,0.8,1.0,0.0
28,0,1,0,1,1,0,0,0,3,673,0,0.0,0.8,1.0,0.0
29,0,1,1,0,1,0,0,0,8,704,0,0.0,0.9,1.0,0.0
30,0,1,0,1,1,0,0,0,3,964,0,0.0,0.9,1.0,0.0
31,0,1,0,1,1,0,0,0,5,1456,0,0.0,0.9,1.0,0.0
32,0,1,0,1,1,0,0,0,3,492,0,0.0,0.9,1.0,0.0
33,0,0,1,1,1,0,0,0,4,413,0,0.0,0.9,1.0,0.0
