step,outcome,clean_rate,best,answered_rate,gold_rate
1,select,0.125,0.125,1.0,0.25
2,select,0.125,0.125,1.0,0.375
3,select,0.25,0.125,1.0,0.375
4,select,0.25,0.25,1.0,0.125
5,select,0.25,0.25,1.0,0.25
6,select,0.25,0.25,1.0,0.125
7,select,0.375,0.25,1.0,0.125
8,reject,0.125,0.375,1.0,0.125
9,select,0.5,0.375,1.0,0.25
10,select,0.375,0.5,1.0,0.25
11,select,0.375,0.5,1.0,0.375
12,select,0.375,0.5,1.0,0.25
13,reject,0.25,0.5,1.0,0.375
14,reject,0.125,0.5,1.0,0.375
15,reject,0.125,0.5,1.0,0.375
16,reject,0.125,0.5,1.0,0.25
17,reject,0.125,0.5,1.0,0.25
18,reject,0.125,0.5,1.0,0.25
19,reject,0.125,0.5,1.0,0.125
20,reject,0.125,0.5,1.0,0.25
21,reject,0.125,0.5,1.0,0.25
22,reject,0.125,0.5,1.0,0.375
23,reject,0.125,0.5,1.0,0.25
24,select,0.375,0.5,1.0,0.125
25,reject,0.25,0.5,1.0,0.375
26,reject,0.125,0.5,1.0,0.375
27,reject,0.125,0.5,1.0,0.375
28,select,0.375,0.5,1.0,0.125
29,reject,0.25,0.5,1.0,0.25
30,reject,0.125,0.5,1.0,0.375
31,reject,0.25,0.5,1.0,0.375
32,reject,0.25,0.5,1.0,0.25
33,reject,0.25,0.5,1.0,0.375
34,reject,0.25,0.5,1.0,0.25
35,reject,0.25,0.5,1.0,0.25
36,reject,0.25,0.5,1.0,0.25
37,reject,0.25,0.5,1.0,0.125
38,reject,0.125,0.5,1.0,0.375
39,reject,0.25,0.5,1.0,0.25
40,reject,0.25,0.5,1.0,0.125
41,reject,0.25,0.5,1.0,0.25
42,reject,0.125,0.5,1.0,0.25
43,reject,0.25,0.5,1.0,0.25
44,reject,0.125,0.5,1.0,0.125
45,reject,0.125,0.5,1.0,0.25
46,select,0.375,0.5,1.0,0.125
47,reject,0.125,0.5,1.0,0.25
48,reject,0.25,0.5,1.0,0.25
49,reject,0.25,0.5,1.0,0.125
50,reject,0.25,0.5,1.0,0.25
51,select,0.375,0.5,1.0,0.375
52,reject,0.25,0.5,1.0,0.125
53,select,0.375,0.5,1.0,0.125
54,reject,0.25,0.5,1.0,0.125
55,reject,0.25,0.5,1.0,0.125
56,reject,0.25,0.5,1.0,0.125
57,select,0.375,0.5,1.0,0.125
58,reject,0.25,0.5,1.0,0.375
59,reject,0.25,0.5,1.0,0.375
60,select,0.375,0.5,1.0,0.375
61,select,0.375,0.5,1.0,0.5
62,reject,0.25,0.5,1.0,0.5
63,reject,0.125,0.5,1.0,0.5
64,reject,0.25,0.5,1.0,0.5
65,select,0.375,0.5,1.0,0.5
66,reject,0.25,0.5,1.0,0.5
67,reject,0.25,0.5,1.0,0.5
