step,loss,kl_coef,adapter_delta_l2,clean_rate,mean_violations,answered_rate,gold_rate,outcome
1,4.3705,0.05,0.8358,0.0,3.375,1.0,0.25,select
2,0.3332,0.05,0.9959,0.0,3.375,1.0,0.25,select
3,-1.4375,0.05,1.0315,0.0,3.375,1.0,0.375,select
4,-7.5921,0.05,1.0239,0.0,3.125,1.0,0.375,select
5,-3.6762,0.05,0.9862,0.0,3.125,1.0,0.375,select
6,-5.5161,0.05,0.9513,0.0,3.375,1.0,0.375,select
7,0.6284,0.05,0.9491,0.0,3.375,1.0,0.375,select
8,-3.4367,0.05,0.9258,0.0,3.375,1.0,0.375,select
9,-5.4197,0.05,0.8594,0.0,3.375,1.0,0.375,select
10,-1.4521,0.05,0.8115,0.0,3.375,1.0,0.375,select
11,-3.5337,0.05,0.7527,0.0,3.375,1.0,0.375,select
12,-2.3573,0.05,0.7213,0.0,3.125,1.0,0.375,select
13,-1.0884,0.05,0.7033,0.0,3.25,1.0,0.375,select
14,2.4339,0.05,0.6864,0.0,3.25,1.0,0.375,select
15,-3.5843,0.05,0.673,0.0,3.25,1.0,0.375,select
16,-5.5489,0.05,0.6735,0.0,3.375,1.0,0.5,select
17,4.9943,0.05,0.7141,0.0,3.375,1.0,0.5,select
18,1.5251,0.05,0.6716,0.0,3.375,1.0,0.375,select
19,-1.3555,0.05,0.6627,0.0,3.375,1.0,0.375,select
20,0.6261,0.05,0.67,0.0,3.375,1.0,0.375,select
21,-1.345,0.05,0.6352,0.0,3.25,1.0,0.375,select
22,-5.3204,0.05,0.6168,0.0,3.125,1.0,0.375,select
23,-7.4766,0.05,0.5929,0.0,3.125,1.0,0.375,select
24,0.826,0.05,0.5902,0.0,3.375,1.0,0.5,select
25,-5.4032,0.05,0.562,0.0,3.375,1.0,0.375,select
26,-1.5096,0.05,0.5422,0.0,3.25,1.0,0.375,select
27,-5.5382,0.05,0.5134,0.0,3.375,1.0,0.375,select
