week,day,cash,individual_subscribers,enterprise_seats
0,0,1000000.0,0,0
1,7,977614.0,19,0
2,14,952025.0,32,0
3,21,946721.0,48,0
4,28,940968.0,109,0
5,35,934244.0,194,0
6,42,925721.0,309,0
7,49,918908.0,374,0
8,56,911873.0,468,0
9,63,908084.0,571,0
10,70,905911.0,658,0
11,77,902073.0,671,0
12,84,897818.0,670,0
13,91,891723.0,646,0
14,98,884359.0,616,0
15,105,882751.0,559,0
16,112,879134.0,523,0
17,119,877846.0,466,0
18,126,707937.0,404,0
19,133,703857.0,337,0
20,140,364051.0,310,0
21,147,358096.0,272,0
22,154,352430.0,227,0
23,161,347982.0,223,0
24,168,342917.0,223,0
25,175,8343.0,208,0
26,182,7139.0,153,0
27,189,6113.0,78,0
28,196,5314.0,59,0
29,203,4567.0,28,0
30,210,3899.0,10,0
31,217,3285.0,9,0
32,224,2664.0,7,0
33,231,2038.0,7,0
34,238,1413.0,7,0
35,245,797.0,4,0
36,252,191.0,1,0
37,255,-66.0,1,0
