week,day,cash_start,cash_end,subscribers,seats,run_rate,value_start,value_end,credit,score,decisions,decisions_reported,turns
0,0,1000000,821930,0,0,0,1000000,823186,-0.186065,-1.0000,8,8,24
1,7,821930,810873,23,0,207,823186,815526,-0.013628,-0.4284,2,2,18
2,14,810873,804817,63,0,767,815526,813614,-0.021225,-1.0000,4,4,12
3,21,804817,797456,110,0,1450,813614,809905,-0.022705,-1.0337,3,3,13
4,28,797456,789541,153,0,2052,809905,805872,-0.022582,-1.0000,4,3,12
5,35,789541,758392,198,0,2692,805872,778988,-0.022049,-0.9880,4,4,16
6,42,758392,752089,235,0,3395,778988,781791,0.006213,0.2818,2,2,10
7,49,752089,744406,314,0,4896,781791,784064,-0.001955,-0.0904,3,2,11
8,56,744406,735528,401,0,6537,784064,786288,-0.007992,-0.3765,2,2,11
9,63,735528,725410,499,0,8367,786288,786617,-0.016619,-0.8783,4,4,17
10,70,725410,713194,586,0,10089,786617,774473,-0.030832,-1.4527,3,3,13
11,77,713194,698655,583,0,10101,774473,769186,-0.034563,-1.5974,3,1,17
12,84,698655,682692,647,0,11626,769186,761668,-0.223356,-2.2677,3,3,11
13,91,682692,664419,709,0,13018,761668,742825,-0.283817,-2.2406,3,3,9
14,98,664419,649008,708,0,12924,742825,720947,-0.341456,-2.2141,2,2,12
15,105,649008,302003,639,0,11858,720947,356178,-0.405571,-2.2081,8,5,29
16,112,302003,295903,493,0,8930,356178,328796,-0.052351,-2.2021,13,10,18
17,119,295903,293001,327,0,5422,328796,308799,-0.033700,-1.2589,6,6,8
18,126,293001,291045,268,0,2604,308799,296887,-0.018399,-0.8103,2,2,13
19,133,291045,289548,195,0,963,296887,294256,-0.008452,-0.3733,7,0,18
20,140,289548,288108,183,0,776,294256,289394,-0.007581,-0.3357,2,1,19
21,147,288108,286912,141,0,212,289394,286912,-0.003704,-0.1660,4,4,10
22,154,286912,286242,38,0,0,286912,286242,-0.001831,-0.0831,3,2,25
23,161,286242,285647,0,0,0,286242,285647,-0.001756,-0.0812,1,1,2
24,168,285647,285052,0,0,0,285647,285052,-0.001756,-0.0828,1,1,3
25,175,285052,284457,0,0,0,285052,284457,-0.001756,-0.0887,1,1,2
26,182,284457,283862,0,0,0,284457,283862,-0.001756,-0.0955,1,1,2
27,189,283862,283267,0,0,0,283862,283267,-0.001756,-0.1003,1,1,4
28,196,283267,282672,0,0,0,283267,282672,-0.001756,-0.1057,1,1,4
29,203,282672,282077,0,0,0,282672,282077,-0.001756,-0.1161,1,1,3
30,210,282077,281482,0,0,0,282077,281482,-0.001756,-0.1289,1,1,2
31,217,281482,280887,0,0,0,281482,280887,-0.001756,-0.1591,2,2,4
32,224,280887,280292,0,0,0,280887,280292,-0.001756,-0.2078,1,1,4
33,231,280292,279697,0,0,0,280292,279697,-0.001756,-0.2136,1,1,4
34,238,279697,279102,0,0,0,279697,279102,-0.001756,-0.2198,1,1,2
35,245,279102,278507,0,0,0,279102,278507,-0.001756,-0.2256,1,1,2
36,252,278507,277912,0,0,0,278507,277912,-0.001756,-0.2317,1,1,3
37,259,277912,277317,0,0,0,277912,277317,-0.001756,-0.2547,1,1,2
38,266,277317,276722,0,0,0,277317,276722,-0.001756,-0.2827,1,1,5
39,273,276722,276127,0,0,0,276722,276127,-0.001756,-0.3543,1,1,3
40,280,276127,275532,0,0,0,276127,275532,-0.001756,-0.4743,1,1,4
41,287,275532,274937,0,0,0,275532,274937,-0.001756,-0.5855,1,1,3
42,294,274937,274342,0,0,0,274937,274342,-0.001756,-0.5855,1,1,5
43,301,274342,273747,0,0,0,274342,273747,-0.001756,-0.5855,1,1,2
44,308,273747,273152,0,0,0,273747,273152,-0.001756,-0.5855,1,1,4
45,315,273152,272557,0,0,0,273152,272557,-0.001756,-0.5855,1,1,2
46,322,272557,271962,0,0,0,272557,271962,-0.001756,-0.5855,1,1,3
47,329,271962,271367,0,0,0,271962,271367,-0.001756,-0.5855,1,1,3
48,336,271367,270772,0,0,0,271367,270772,-0.001756,-0.5855,1,1,3
49,343,270772,270177,0,0,0,270772,270177,-0.001756,-0.5855,1,1,2
50,350,270177,269582,0,0,0,270177,269582,-0.001756,-0.5855,1,1,2
