step,num_entries,num_valid,step_best,step_mean,cumulative_best
0,1,1,27.81051763,27.81051763,27.81051763
1,128,124,79.73681271,40.76523723,79.73681271
2,128,123,81.30783149,68.38524271,81.30783149
3,128,124,87.55839765,75.29821240,87.55839765
4,128,124,87.38060079,75.60222183,87.55839765
5,128,123,87.65314486,81.38544546,87.65314486
6,128,115,87.71261486,81.81128349,87.71261486
7,128,118,88.15110646,77.10941026,88.15110646
8,128,125,89.07150634,79.70689252,89.07150634
9,128,121,89.31662996,86.94871258,89.31662996
10,128,118,89.34556395,87.72625589,89.34556395
11,128,116,89.47050238,84.81720598,89.47050238
12,128,122,90.84313365,86.37980309,90.84313365
13,128,122,91.07418444,82.34689135,91.07418444
14,128,115,91.15490434,86.64870643,91.15490434
15,128,116,91.19993902,84.88696128,91.19993902
16,128,114,91.22805844,86.75854775,91.22805844
17,128,106,91.32267529,84.80627560,91.32267529
18,128,106,91.35373652,87.04645618,91.35373652
19,128,104,91.37591255,89.70894475,91.37591255
20,128,107,91.75976541,87.75123920,91.75976541
21,128,103,91.81865239,90.51600532,91.81865239
22,128,106,91.80240314,87.15182046,91.81865239
23,128,115,91.83477223,90.21080978,91.83477223
24,128,102,91.85608858,90.56064763,91.85608858
25,128,113,91.86310830,90.18141920,91.86310830
26,128,101,91.83658535,89.94726438,91.86310830
27,128,112,91.89074282,90.63765532,91.89074282
28,128,118,91.88464347,90.79548221,91.89074282
29,128,115,91.86238914,90.02946175,91.89074282
30,128,108,91.82846157,88.26012820,91.89074282
31,128,104,91.83835571,90.49908736,91.89074282
