task,update,search_best_raw,figure_value
lasso_path,0,0.12147832766333476,0.12147832766333476
lasso_path,1,0.12585483202175654,0.12585483202175654
lasso_path,2,0.1498423211449377,0.1498423211449377
lasso_path,3,0.17476108477874022,0.17476108477874022
lasso_path,4,0.18683813476091296,0.18683813476091296
lasso_path,5,0.18683813476091296,0.18683813476091296
lasso_path,6,0.18816750071803964,0.18816750071803964
lasso_path,7,0.19665560831856488,0.19665560831856488
lasso_path,8,0.19665560831856488,0.19665560831856488
lasso_path,9,0.19665560831856488,0.19665560831856488
lasso_path,10,0.19665560831856488,0.19665560831856488
lasso_path,11,0.19665560831856488,0.19665560831856488
lasso_path,12,0.19665560831856488,0.19665560831856488
lasso_path,13,0.19665560831856488,0.19665560831856488
lasso_path,14,0.19665560831856488,0.19665560831856488
lasso_path,15,0.19665560831856488,0.19665560831856488
lasso_path,16,0.19665560831856488,0.19665560831856488
lasso_path,17,0.19665560831856488,0.19665560831856488
lasso_path,18,0.19665560831856488,0.19665560831856488
lasso_path,19,0.19665560831856488,0.19665560831856488
lasso_path,20,0.19665560831856488,0.19665560831856488
lasso_path,21,0.19665560831856488,0.19665560831856488
lasso_path,22,0.19665560831856488,0.19665560831856488
lasso_path,23,0.19665560831856488,0.19665560831856488
lasso_path,24,0.19665560831856488,0.19665560831856488
lasso_path,25,0.19665560831856488,0.19665560831856488
lasso_path,26,0.1971367545781942,0.1971367545781942
lasso_path,27,0.20177644826156085,0.20177644826156085
lasso_path,28,0.20177644826156085,0.20177644826156085
lasso_path,29,0.21259430766995094,0.21259430766995094
lasso_path,30,0.21259430766995094,0.21259430766995094
ahc058,0,4553004.106666666,682950616.0
ahc058,1,5314540.833333333,797181125.0
ahc058,2,5393424.92,809013738.0
ahc058,3,5442437.426666667,816365614.0
ahc058,4,5472699.193333333,820904879.0
ahc058,5,5595785.606666666,839367841.0
ahc058,6,5602954.246666667,840443137.0
ahc058,7,5607113.513333334,841067027.0
ahc058,8,5629843.793333333,844476569.0
ahc058,9,5648270.153333333,847240523.0
ahc058,10,5659649.66,848947449.0
ahc058,11,5662090.273333333,849313541.0
ahc058,12,5668948.88,850342332.0
ahc058,13,5670464.3133333335,850569647.0
ahc058,14,5672881.746666667,850932262.0
ahc058,15,5673219.253333333,850982888.0
ahc058,16,5674922.846666667,851238427.0
ahc058,17,5676275.533333333,851441330.0
ahc058,18,5677569.746666667,851635462.0
ahc058,19,5678614.086666667,851792113.0
ahc058,20,5679723.013333334,851958452.0
ahc058,21,5680872.546666667,852130882.0
ahc058,22,5681246.02,852186902.9999999
ahc058,23,5681246.02,852186902.9999999
ahc058,24,5681246.02,852186902.9999999
ahc058,25,5681246.02,852186902.9999999
ahc058,26,5681246.02,852186902.9999999
ahc058,27,5681594.446666666,852239167.0
ahc058,28,5681594.446666666,852239167.0
ahc058,29,5682735.3,852410295.0
ahc058,30,5683158.86,852473829.0
