update,best_us
0,10177.4
1,5043.119940280539
2,2639.191194219077
3,1910.9997863650426
4,1791.4890750009613
5,1399.7210968761979
6,1311.261467054155
7,1253.6164686332684
8,1253.6164686332684
9,1253.6164686332684
10,1243.3467692707093
11,1243.0463176839874
12,1243.0463176839874
13,1243.0463176839874
14,1185.7500899117774
15,1185.7500899117774
16,1168.7762137005798
17,1128.0291309762747
18,1123.6771178914162
19,1123.6771178914162
20,1120.2775180271465
21,1120.2775180271465
22,1120.2775180271465
23,1120.2775180271465
24,1115.8667440138086
25,1110.8531360423483
26,1110.8531360423483
27,1110.8531360423483
28,1110.8531360423483
29,1110.8531360423483
30,1110.8531360423483
