task,update,cumulative_best,valid_rollouts,sampled_rollouts
polyomino,0,27.810517627142843,,0
polyomino,1,78.28759480571425,127,128
polyomino,2,80.81206598142857,125,128
polyomino,3,86.76461186714288,123,128
polyomino,4,88.11833196571428,121,128
polyomino,5,88.70501028571431,119,128
polyomino,6,89.26917415285716,121,128
polyomino,7,89.31064259000003,123,128
polyomino,8,89.32346986285717,128,128
polyomino,9,89.33594435714286,126,128
polyomino,10,89.36013476714287,123,128
polyomino,11,89.38232582571429,124,128
polyomino,12,89.38254528428573,126,128
polyomino,13,89.38775175571429,124,128
polyomino,14,89.42596707428572,125,128
polyomino,15,89.52554305428569,124,128
polyomino,16,89.56468401999999,124,128
polyomino,17,89.56468401999999,124,128
polyomino,18,89.56969032714284,121,128
polyomino,19,89.56969032714284,121,128
polyomino,20,89.56969032714284,119,128
polyomino,21,89.57413183142856,118,128
polyomino,22,89.58917551714285,117,128
polyomino,23,89.62274700571427,107,128
polyomino,24,89.7219514842857,107,128
polyomino,25,89.72637562285713,113,128
polyomino,26,89.7845630442857,110,128
polyomino,27,89.7845630442857,105,128
polyomino,28,89.78893054714285,98,128
polyomino,29,89.78893054714285,116,128
polyomino,30,89.79648748142856,114,128
trimul,0,10177.396849081848,,0
trimul,1,5043.119940280539,75,128
trimul,2,2639.191194219077,71,128
trimul,3,1910.9997863650426,85,128
trimul,4,1791.4890750009613,51,128
trimul,5,1399.7210968761979,81,128
trimul,6,1311.261467054155,92,128
trimul,7,1253.6164686332684,71,128
trimul,8,1253.6164686332684,78,128
trimul,9,1253.6164686332684,92,128
trimul,10,1243.3467692707093,95,128
trimul,11,1243.0463176839874,69,128
trimul,12,1243.0463176839874,73,128
trimul,13,1243.0463176839874,77,128
trimul,14,1185.7500899117774,86,128
trimul,15,1185.7500899117774,86,128
trimul,16,1168.7762137005798,82,128
trimul,17,1128.0291309762747,90,128
trimul,18,1123.6771178914162,93,128
trimul,19,1123.6771178914162,95,128
trimul,20,1120.2775180271465,100,128
trimul,21,1120.2775180271465,89,128
trimul,22,1120.2775180271465,93,128
trimul,23,1120.2775180271465,93,128
trimul,24,1115.8667440138086,106,128
trimul,25,1110.8531360423483,95,128
trimul,26,1110.8531360423483,108,128
trimul,27,1110.8531360423483,114,128
trimul,28,1110.8531360423483,100,128
trimul,29,1110.8531360423483,115,128
trimul,30,1110.8531360423483,93,128
